"Species","Region","Year","Value","Metric","Description","Units","AssessmentYear","Age","Category"
"Scup","Atlantic Coast",1981,19514,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1982,16751,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1983,15336,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1984,12836,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1985,14989,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1986,16965,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1987,13902,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1988,11882,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1989,10096,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1990,10350,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1991,16401,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1992,12496,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1993,8367,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1994,7348,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1995,5115,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1996,5874,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1997,4053,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1998,3485,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1999,4390,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2000,7216,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2001,8251,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2002,7710,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2003,13109,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2004,11972,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2005,6637,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2006,8304,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2007,9183,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2008,7284,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2009,10313,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2010,13951,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2011,13252,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2012,12166,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2013,15692,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2014,13382,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2015,15606,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2016,15317,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2017,18961,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2018,15888,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1984,0.944000005722046,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1985,1.05299997329712,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1986,0.966000020503998,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1987,1.01699995994568,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1988,1.04100000858307,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1989,0.921999990940094,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1990,0.799000024795532,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1991,1.32099997997284,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1992,1.37800002098083,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1993,1.31599998474121,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1994,1.59300005435944,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1995,1.24800002574921,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1996,0.989000022411346,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1997,0.726999998092651,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1998,0.437000006437302,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1999,0.279000014066696,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2000,0.226999998092651,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2001,0.123999997973442,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2002,0.090999998152256,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2003,0.125,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2004,0.111000001430511,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2005,0.0689999982714653,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2006,0.0970000028610229,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2007,0.0930000022053719,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2008,0.0659999996423721,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2009,0.0740000009536743,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2010,0.0900000035762787,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2011,0.0860000029206276,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2012,0.0860000029206276,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2013,0.119000002741814,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2014,0.112999998033047,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2015,0.158000007271767,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2016,0.140000000596046,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2017,0.166999995708466,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",2018,0.158000007271767,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1984,1.47e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1985,1.34e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1986,9.3e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1987,7e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1988,1.3e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1989,7.5e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1990,1.12e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1991,9.9e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1992,4e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1993,4e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1994,7.3e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1995,4.3e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1996,3.7e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1997,9.6e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1998,1.1e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1999,2.31e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2000,1.54e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2001,1.43e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2002,9.1e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2003,9.2e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2004,1.42e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2005,2.26e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2006,2.64e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2007,2.62e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2008,2.31e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2009,1.28e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2010,1.43e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2011,1.99e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2012,1.14e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2013,1.06e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2014,2.35e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2015,3.26e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2016,1.12e+08,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2017,9.3e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",2018,8.3e+07,"Recruitment","Recruits, Age 0","Number",2019,"Age 0","Other"
"Scup","Atlantic Coast",1984,11091,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1985,14688,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1986,13928,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1987,11667,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1988,9353,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1989,8809,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1990,11291,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1991,9290,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1992,7518,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1993,5713,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1994,4229,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1995,3548,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1996,6209,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1997,6505,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1998,7932,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1999,16868,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2000,33108,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2001,61166,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2002,85072,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2003,106588,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2004,118173,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2005,121024,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2006,132421,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2007,145789,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2008,172480,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2009,194081,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2010,234435,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2011,236631,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2012,236703,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2013,237483,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2014,224139,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2015,191237,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2016,199856,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2017,193258,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",2018,186578,"Biomass","Spawning Stock Biomass","Metric Tons",2019,"No age","Spawning Stock"
"Scup","Atlantic Coast",1981,17526,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1982,15518,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1983,14765,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1984,12641,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1985,13123,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1986,16769,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1987,12503,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1988,10977,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1989,8285,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1990,9299,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1991,14892,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1992,10562,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1993,7981,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1994,6804,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1995,4781,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1996,4993,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1997,3514,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1998,3086,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1999,3259,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2000,4779,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2001,5869,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2002,6553,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2003,9566,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2004,8993,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2005,5761,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2006,7084,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2007,7987,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2008,6624,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2009,8583,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2010,10537,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2011,9858,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2012,9853,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2013,12072,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2014,10596,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2015,12020,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",2016,12205,"Catch","Reported Catch, Total (Mean)","Metric Tons",2017,"No age","Other"
"Scup","Atlantic Coast",1984,0.958000004291534,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1985,0.89300000667572,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1986,1.05799996852875,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1987,1.07500004768372,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1988,1.10199999809265,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1989,0.961000025272369,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1990,0.810000002384186,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1991,1.35899996757507,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1992,1.35500001907349,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1993,1.33700001239777,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1994,1.52300000190735,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1995,1.18299996852875,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1996,0.991999983787537,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1997,0.768999993801117,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1998,0.479000002145767,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",1999,0.254000008106232,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2000,0.165000006556511,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2001,0.096000000834465,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2002,0.0759999975562096,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2003,0.0900000035762787,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2004,0.0839999988675117,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2005,0.0570000000298023,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2006,0.0790000036358833,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2007,0.0790000036358833,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2008,0.0560000017285347,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2009,0.0649999976158142,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2010,0.0729999989271164,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2011,0.0710000023245811,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2012,0.0759999975562096,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
"Scup","Atlantic Coast",2013,0.104999996721745,"Fmort","Mean F, Age 3","Rate",2017,"Age 3","Other"
