"Year","Month","Var","Value","EPU"
"1954","01","gulf stream index",1.72374595999166,"All"
"1954","02","gulf stream index",1.88613100414862,"All"
"1954","03","gulf stream index",1.54812352467156,"All"
"1954","04","gulf stream index",1.51665538111719,"All"
"1954","05","gulf stream index",1.36922375432066,"All"
"1954","06","gulf stream index",1.76380264057499,"All"
"1954","07","gulf stream index",1.4728120394752,"All"
"1954","08","gulf stream index",-0.27609971695228,"All"
"1954","09","gulf stream index",0.704627710976227,"All"
"1954","1","gulf stream index",0.994900637857211,"All"
"1954","11","gulf stream index",0.336102908708519,"All"
"1954","12","gulf stream index",-0.70544455490256,"All"
"1955","01","gulf stream index",-0.817931110840407,"All"
"1955","02","gulf stream index",-0.635480821678586,"All"
"1955","03","gulf stream index",-0.249039221225324,"All"
"1955","04","gulf stream index",-0.0607510934194295,"All"
"1955","05","gulf stream index",0.103412062240427,"All"
"1955","06","gulf stream index",-0.183163632809362,"All"
"1955","07","gulf stream index",0.366213320206757,"All"
"1955","08","gulf stream index",0.509363092322913,"All"
"1955","09","gulf stream index",0.559285688209476,"All"
"1955","1","gulf stream index",-0.115855586309096,"All"
"1955","11","gulf stream index",-0.353202994884741,"All"
"1955","12","gulf stream index",-0.994450628561378,"All"
"1956","01","gulf stream index",-1.2142227142985,"All"
"1956","02","gulf stream index",-0.69498237308182,"All"
"1956","03","gulf stream index",-0.920262218613101,"All"
"1956","04","gulf stream index",-0.449675699643147,"All"
"1956","05","gulf stream index",-0.909127983995257,"All"
"1956","06","gulf stream index",-0.628351540044756,"All"
"1956","07","gulf stream index",0.564606334341525,"All"
"1956","08","gulf stream index",0.159749997784972,"All"
"1956","09","gulf stream index",0.517852877498531,"All"
"1956","1","gulf stream index",0.198159268982664,"All"
"1956","11","gulf stream index",0.307629562687357,"All"
"1956","12","gulf stream index",0.175107244757699,"All"
"1957","01","gulf stream index",-0.103171407452405,"All"
"1957","02","gulf stream index",-0.00592438762464363,"All"
"1957","03","gulf stream index",1.25557444591151,"All"
"1957","04","gulf stream index",-0.10602152587857,"All"
"1957","05","gulf stream index",-0.280921896378525,"All"
"1957","06","gulf stream index",0.194609238078581,"All"
"1957","07","gulf stream index",0.347891392390899,"All"
"1957","08","gulf stream index",0.30339903313468,"All"
"1957","09","gulf stream index",-0.0842482848232206,"All"
"1957","1","gulf stream index",0.252882403170988,"All"
"1957","11","gulf stream index",0.159649452534789,"All"
"1957","12","gulf stream index",-0.666422833409576,"All"
"1958","01","gulf stream index",-1.44469236623231,"All"
"1958","02","gulf stream index",-0.881802611596379,"All"
"1958","03","gulf stream index",-0.861398201536759,"All"
"1958","04","gulf stream index",-2.1918604253795,"All"
"1958","05","gulf stream index",-1.10426156964512,"All"
"1958","06","gulf stream index",-2.19422207933766,"All"
"1958","07","gulf stream index",-1.63730499229239,"All"
"1958","08","gulf stream index",-0.686110368105196,"All"
"1958","09","gulf stream index",-0.562132044639138,"All"
"1958","1","gulf stream index",-0.993747769354185,"All"
"1958","11","gulf stream index",-0.976972805946621,"All"
"1958","12","gulf stream index",-0.45797480392338,"All"
"1959","01","gulf stream index",-1.42808950186805,"All"
"1959","02","gulf stream index",-1.04738536409281,"All"
"1959","03","gulf stream index",-1.53602826782756,"All"
"1959","04","gulf stream index",-2.2870972301153,"All"
"1959","05","gulf stream index",-1.77043809356223,"All"
"1959","06","gulf stream index",-1.17179269661165,"All"
"1959","07","gulf stream index",-1.65424761154379,"All"
"1959","08","gulf stream index",-1.67248410400053,"All"
"1959","09","gulf stream index",-1.22691062792328,"All"
"1959","1","gulf stream index",-1.69690932124648,"All"
"1959","11","gulf stream index",-0.382411463847796,"All"
"1959","12","gulf stream index",-1.1068512810003,"All"
"1960","01","gulf stream index",-0.81880413323086,"All"
"1960","02","gulf stream index",-0.914501624793611,"All"
"1960","03","gulf stream index",-0.516154084052832,"All"
"1960","04","gulf stream index",-0.941483912005377,"All"
"1960","05","gulf stream index",-0.822397152268015,"All"
"1960","06","gulf stream index",-1.4665574151213,"All"
"1960","07","gulf stream index",-1.54446832747838,"All"
"1960","08","gulf stream index",-1.91816959170081,"All"
"1960","09","gulf stream index",-1.51938926977807,"All"
"1960","1","gulf stream index",-1.4611938888057,"All"
"1960","11","gulf stream index",-2.15940012153533,"All"
"1960","12","gulf stream index",-1.5419017299087,"All"
"1961","01","gulf stream index",-0.764910027106485,"All"
"1961","02","gulf stream index",-0.584153601592507,"All"
"1961","03","gulf stream index",-0.377832528411151,"All"
"1961","04","gulf stream index",-1.47816657855513,"All"
"1961","05","gulf stream index",-1.32357570369629,"All"
"1961","06","gulf stream index",-0.548108242207471,"All"
"1961","07","gulf stream index",-1.38303966643096,"All"
"1961","08","gulf stream index",-0.946412285652641,"All"
"1961","09","gulf stream index",-2.00540525565722,"All"
"1961","1","gulf stream index",-0.642212489176377,"All"
"1961","11","gulf stream index",-0.257227866015911,"All"
"1961","12","gulf stream index",-0.770354639900171,"All"
"1962","01","gulf stream index",0.148469414402165,"All"
"1962","02","gulf stream index",-1.6260997457951,"All"
"1962","03","gulf stream index",-1.16241346992461,"All"
"1962","04","gulf stream index",-1.59222011360364,"All"
"1962","05","gulf stream index",-0.893341919813797,"All"
"1962","06","gulf stream index",-1.00402292004763,"All"
"1962","07","gulf stream index",-1.31171959835904,"All"
"1962","08","gulf stream index",-1.62293210847899,"All"
"1962","09","gulf stream index",-0.490077713089482,"All"
"1962","1","gulf stream index",-0.0421739461296706,"All"
"1962","11","gulf stream index",-2.07580094345499,"All"
"1962","12","gulf stream index",-2.01764619388441,"All"
"1963","01","gulf stream index",-1.78592563194546,"All"
"1963","02","gulf stream index",-1.17889421700503,"All"
"1963","03","gulf stream index",-1.63267955652406,"All"
"1963","04","gulf stream index",-0.922062485880874,"All"
"1963","05","gulf stream index",-1.25628844903054,"All"
"1963","06","gulf stream index",-1.38769593783009,"All"
"1963","07","gulf stream index",-1.16174938239478,"All"
"1963","08","gulf stream index",-0.266607389465155,"All"
"1963","09","gulf stream index",-0.949968533078054,"All"
"1963","1","gulf stream index",-1.42011950591093,"All"
"1963","11","gulf stream index",-1.40104714506429,"All"
"1963","12","gulf stream index",-2.10408232143715,"All"
"1964","01","gulf stream index",-1.81598955978838,"All"
"1964","02","gulf stream index",-2.22600037731778,"All"
"1964","03","gulf stream index",-2.52785649265946,"All"
"1964","04","gulf stream index",-1.58973946788924,"All"
"1964","05","gulf stream index",-2.32845211536332,"All"
"1964","06","gulf stream index",-1.36169871133617,"All"
"1964","07","gulf stream index",-1.40420455728019,"All"
"1964","08","gulf stream index",-1.3982914736962,"All"
"1964","09","gulf stream index",-1.83650996719222,"All"
"1964","1","gulf stream index",-2.02717934959727,"All"
"1964","11","gulf stream index",-2.21912212140156,"All"
"1964","12","gulf stream index",-2.3181742528641,"All"
"1965","01","gulf stream index",-1.57771018924612,"All"
"1965","02","gulf stream index",-1.7373400208618,"All"
"1965","03","gulf stream index",-1.93959472617569,"All"
"1965","04","gulf stream index",-1.21333584872755,"All"
"1965","05","gulf stream index",-0.427779670385425,"All"
"1965","06","gulf stream index",-0.030437316673107,"All"
"1965","07","gulf stream index",0.513929879843572,"All"
"1965","08","gulf stream index",-0.835841197304596,"All"
"1965","09","gulf stream index",-2.10360988202396,"All"
"1965","1","gulf stream index",-2.12994649959435,"All"
"1965","11","gulf stream index",-1.11733943855112,"All"
"1965","12","gulf stream index",-1.68556870342526,"All"
"1966","01","gulf stream index",-1.8762936548937,"All"
"1966","02","gulf stream index",-1.52735037147733,"All"
"1966","03","gulf stream index",-1.72545742941843,"All"
"1966","04","gulf stream index",-2.26728774991945,"All"
"1966","05","gulf stream index",-3.50487723629648,"All"
"1966","06","gulf stream index",-1.47915403236343,"All"
"1966","07","gulf stream index",-1.33982432690969,"All"
"1966","08","gulf stream index",-2.30164317819141,"All"
"1966","09","gulf stream index",-2.67846569347335,"All"
"1966","1","gulf stream index",-1.96826600144398,"All"
"1966","11","gulf stream index",-1.51096716763327,"All"
"1966","12","gulf stream index",-1.68001085217655,"All"
"1967","01","gulf stream index",-0.746653660797258,"All"
"1967","02","gulf stream index",-0.0289125420930635,"All"
"1967","03","gulf stream index",-1.04375770923186,"All"
"1967","04","gulf stream index",-2.11034762268,"All"
"1967","05","gulf stream index",-1.04306994857898,"All"
"1967","06","gulf stream index",-1.77626133814241,"All"
"1967","07","gulf stream index",-1.62332299441869,"All"
"1967","08","gulf stream index",-1.43797045410792,"All"
"1967","09","gulf stream index",-1.44083037587365,"All"
"1967","1","gulf stream index",-1.54124812886888,"All"
"1967","11","gulf stream index",-0.983312176876867,"All"
"1967","12","gulf stream index",-0.922921202116869,"All"
"1968","01","gulf stream index",-1.12481710956715,"All"
"1968","02","gulf stream index",-0.940215918313607,"All"
"1968","03","gulf stream index",-0.932601983349079,"All"
"1968","04","gulf stream index",-1.01324664965697,"All"
"1968","05","gulf stream index",-0.234675946401123,"All"
"1968","06","gulf stream index",-0.737576224808865,"All"
"1968","07","gulf stream index",-0.12690552618466,"All"
"1968","08","gulf stream index",0.187229305950725,"All"
"1968","09","gulf stream index",0.721911193788237,"All"
"1968","1","gulf stream index",-0.104110634759627,"All"
"1968","11","gulf stream index",-0.211237971002271,"All"
"1968","12","gulf stream index",0.0780474963557005,"All"
"1969","01","gulf stream index",-0.116750782055559,"All"
"1969","02","gulf stream index",-0.926048166722641,"All"
"1969","03","gulf stream index",-1.07470998848909,"All"
"1969","04","gulf stream index",-0.672855968337104,"All"
"1969","05","gulf stream index",-1.31811511989466,"All"
"1969","06","gulf stream index",-1.03964499690823,"All"
"1969","07","gulf stream index",-1.64101779477243,"All"
"1969","08","gulf stream index",-0.309643014520756,"All"
"1969","09","gulf stream index",-0.890954121226902,"All"
"1969","1","gulf stream index",-0.972545528639366,"All"
"1969","11","gulf stream index",-1.31279877251307,"All"
"1969","12","gulf stream index",-0.619955533668656,"All"
"1970","01","gulf stream index",-0.270035805584379,"All"
"1970","02","gulf stream index",-1.15308965463031,"All"
"1970","03","gulf stream index",-1.26621777514941,"All"
"1970","04","gulf stream index",-1.28373840749244,"All"
"1970","05","gulf stream index",-1.19350338410738,"All"
"1970","06","gulf stream index",-0.904301712481252,"All"
"1970","07","gulf stream index",-1.28466456328867,"All"
"1970","08","gulf stream index",-1.54551026279917,"All"
"1970","09","gulf stream index",-0.730049047190719,"All"
"1970","1","gulf stream index",-0.765050816754644,"All"
"1970","11","gulf stream index",-0.786683999778393,"All"
"1970","12","gulf stream index",-0.972041405502942,"All"
"1971","01","gulf stream index",-2.1000636659648,"All"
"1971","02","gulf stream index",-2.11778926715421,"All"
"1971","03","gulf stream index",-0.992450694642291,"All"
"1971","04","gulf stream index",-1.14379813650395,"All"
"1971","05","gulf stream index",-0.884111086058883,"All"
"1971","06","gulf stream index",-1.47591131850353,"All"
"1971","07","gulf stream index",-1.07924185020809,"All"
"1971","08","gulf stream index",-0.989065416332325,"All"
"1971","09","gulf stream index",-0.0775460259166664,"All"
"1971","1","gulf stream index",-0.736055986232288,"All"
"1971","11","gulf stream index",-0.391287796628349,"All"
"1971","12","gulf stream index",-0.268335995474411,"All"
"1972","01","gulf stream index",-0.104417891217498,"All"
"1972","02","gulf stream index",-1.00226866005198,"All"
"1972","03","gulf stream index",0.0825878905893554,"All"
"1972","04","gulf stream index",-0.238491396872516,"All"
"1972","05","gulf stream index",0.328238411973559,"All"
"1972","06","gulf stream index",-0.0787966166984495,"All"
"1972","07","gulf stream index",-0.172265506972318,"All"
"1972","08","gulf stream index",-0.206307497080953,"All"
"1972","09","gulf stream index",0.00339405936388242,"All"
"1972","1","gulf stream index",-0.287542175174399,"All"
"1972","11","gulf stream index",0.541686048685085,"All"
"1972","12","gulf stream index",0.152887063095387,"All"
"1973","01","gulf stream index",-0.0282502855335583,"All"
"1973","02","gulf stream index",-0.31023611199659,"All"
"1973","03","gulf stream index",0.0670605015744878,"All"
"1973","04","gulf stream index",0.246300873750316,"All"
"1973","05","gulf stream index",-0.0462033372745529,"All"
"1973","06","gulf stream index",0.0297095088136644,"All"
"1973","07","gulf stream index",0.234043060436024,"All"
"1973","08","gulf stream index",0.365919167821753,"All"
"1973","09","gulf stream index",-0.206121259991806,"All"
"1973","1","gulf stream index",0.117936199525041,"All"
"1973","11","gulf stream index",-0.17799220657542,"All"
"1973","12","gulf stream index",0.887002431663432,"All"
"1974","01","gulf stream index",0.624762852863786,"All"
"1974","02","gulf stream index",1.36514110727024,"All"
"1974","03","gulf stream index",0.799821354144008,"All"
"1974","04","gulf stream index",1.69089719811518,"All"
"1974","05","gulf stream index",0.609971197563394,"All"
"1974","06","gulf stream index",0.912212729731661,"All"
"1974","07","gulf stream index",0.240770137064239,"All"
"1974","08","gulf stream index",0.237031574720987,"All"
"1974","09","gulf stream index",-0.320206223287903,"All"
"1974","1","gulf stream index",-0.893173868375697,"All"
"1974","11","gulf stream index",1.01697249093685,"All"
"1974","12","gulf stream index",1.66521878091227,"All"
"1975","01","gulf stream index",0.490944991181689,"All"
"1975","02","gulf stream index",0.139479233966711,"All"
"1975","03","gulf stream index",0.174443460879302,"All"
"1975","04","gulf stream index",0.0117841612368383,"All"
"1975","05","gulf stream index",-0.686355923442877,"All"
"1975","06","gulf stream index",-0.16019581793812,"All"
"1975","07","gulf stream index",-0.0053360329497372,"All"
"1975","08","gulf stream index",-1.19157619433813,"All"
"1975","09","gulf stream index",-0.240143818240406,"All"
"1975","1","gulf stream index",0.950043604377485,"All"
"1975","11","gulf stream index",0.00646101773158968,"All"
"1975","12","gulf stream index",0.242753665813734,"All"
"1976","01","gulf stream index",0.310344182868661,"All"
"1976","02","gulf stream index",0.491160126903975,"All"
"1976","03","gulf stream index",0.316630226169551,"All"
"1976","04","gulf stream index",0.397485933279045,"All"
"1976","05","gulf stream index",0.983778974546744,"All"
"1976","06","gulf stream index",1.3100285856601,"All"
"1976","07","gulf stream index",1.03130146919434,"All"
"1976","08","gulf stream index",0.748645825122092,"All"
"1976","09","gulf stream index",0.224211623720898,"All"
"1976","1","gulf stream index",0.604621635527147,"All"
"1976","11","gulf stream index",0.191523962618271,"All"
"1976","12","gulf stream index",-0.366428111913704,"All"
"1977","01","gulf stream index",0.530990051925271,"All"
"1977","02","gulf stream index",1.33815418322986,"All"
"1977","03","gulf stream index",0.472669825590423,"All"
"1977","04","gulf stream index",0.688256920089769,"All"
"1977","05","gulf stream index",0.115828993309181,"All"
"1977","06","gulf stream index",0.641385234027826,"All"
"1977","07","gulf stream index",0.963947106318077,"All"
"1977","08","gulf stream index",0.0166984177610508,"All"
"1977","09","gulf stream index",0.274855315580539,"All"
"1977","1","gulf stream index",-1.54134854656583,"All"
"1977","11","gulf stream index",-0.272594442978507,"All"
"1977","12","gulf stream index",0.222789155328489,"All"
"1978","01","gulf stream index",-0.85253930337636,"All"
"1978","02","gulf stream index",-0.922259280151402,"All"
"1978","03","gulf stream index",-0.649373789539347,"All"
"1978","04","gulf stream index",-0.29339708112652,"All"
"1978","05","gulf stream index",-0.320599914150169,"All"
"1978","06","gulf stream index",-1.30582236694663,"All"
"1978","07","gulf stream index",-1.23634497042582,"All"
"1978","08","gulf stream index",-0.336882348449105,"All"
"1978","09","gulf stream index",-0.259122388003142,"All"
"1978","1","gulf stream index",-0.0899044260538465,"All"
"1978","11","gulf stream index",-0.0903664427813044,"All"
"1978","12","gulf stream index",0.652309216125952,"All"
"1979","01","gulf stream index",0.363800916893428,"All"
"1979","02","gulf stream index",-0.0869857163829328,"All"
"1979","03","gulf stream index",-0.302455722506507,"All"
"1979","04","gulf stream index",0.544641511906922,"All"
"1979","05","gulf stream index",-0.624735710181683,"All"
"1979","06","gulf stream index",-0.734493063143285,"All"
"1979","07","gulf stream index",-0.869158986482428,"All"
"1979","08","gulf stream index",-0.903905539416085,"All"
"1979","09","gulf stream index",-0.639583983578803,"All"
"1979","1","gulf stream index",0.165711727689959,"All"
"1979","11","gulf stream index",0.282031163203716,"All"
"1979","12","gulf stream index",-0.0140984896468184,"All"
"1980","01","gulf stream index",0.549123809991425,"All"
"1980","02","gulf stream index",0.0471843090258344,"All"
"1980","03","gulf stream index",-0.140107376108092,"All"
"1980","04","gulf stream index",-0.00269034306733376,"All"
"1980","05","gulf stream index",-0.301938209628314,"All"
"1980","06","gulf stream index",-0.150136577258596,"All"
"1980","07","gulf stream index",0.429725781839248,"All"
"1980","08","gulf stream index",0.24884119748166,"All"
"1980","09","gulf stream index",-0.00481005801465571,"All"
"1980","1","gulf stream index",-0.755043634030925,"All"
"1980","11","gulf stream index",0.228728761947149,"All"
"1980","12","gulf stream index",-0.195532875838299,"All"
"1981","01","gulf stream index",0.162535782950346,"All"
"1981","02","gulf stream index",-0.553043134013769,"All"
"1981","03","gulf stream index",-0.132501020266523,"All"
"1981","04","gulf stream index",-0.719246403078384,"All"
"1981","05","gulf stream index",-0.867386352600895,"All"
"1981","06","gulf stream index",-0.582050295358608,"All"
"1981","07","gulf stream index",-0.831347363709429,"All"
"1981","08","gulf stream index",-0.932057564761626,"All"
"1981","09","gulf stream index",0.227993024346966,"All"
"1981","1","gulf stream index",-1.0256693477388,"All"
"1981","11","gulf stream index",-1.05392058964299,"All"
"1981","12","gulf stream index",-0.659668738686505,"All"
"1982","01","gulf stream index",-0.914115202800066,"All"
"1982","02","gulf stream index",-1.33972824735878,"All"
"1982","03","gulf stream index",-0.187046031466781,"All"
"1982","04","gulf stream index",-0.277843175196606,"All"
"1982","05","gulf stream index",-0.474425934737307,"All"
"1982","06","gulf stream index",-1.06532795176804,"All"
"1982","07","gulf stream index",-0.985324000676469,"All"
"1982","08","gulf stream index",-0.0401064455550841,"All"
"1982","09","gulf stream index",0.00477749964210353,"All"
"1982","1","gulf stream index",-0.265738319113703,"All"
"1982","11","gulf stream index",0.244440511845401,"All"
"1982","12","gulf stream index",0.178298859601005,"All"
"1983","01","gulf stream index",-0.0335826185862538,"All"
"1983","02","gulf stream index",-0.0166318794261115,"All"
"1983","03","gulf stream index",-0.505212569760591,"All"
"1983","04","gulf stream index",-0.0816828082902485,"All"
"1983","05","gulf stream index",0.159101957775451,"All"
"1983","06","gulf stream index",0.136692413463732,"All"
"1983","07","gulf stream index",-0.461658529396084,"All"
"1983","08","gulf stream index",-0.779156344825967,"All"
"1983","09","gulf stream index",-0.674385443914657,"All"
"1983","1","gulf stream index",-0.713705249769205,"All"
"1983","11","gulf stream index",0.173739867463942,"All"
"1983","12","gulf stream index",-0.197423937772648,"All"
"1984","01","gulf stream index",-0.885319349967697,"All"
"1984","02","gulf stream index",-0.11234628323369,"All"
"1984","03","gulf stream index",0.368970071782363,"All"
"1984","04","gulf stream index",0.703589696496966,"All"
"1984","05","gulf stream index",-0.109684278050388,"All"
"1984","06","gulf stream index",0.54221668165889,"All"
"1984","07","gulf stream index",0.41992966171296,"All"
"1984","08","gulf stream index",0.68706928131883,"All"
"1984","09","gulf stream index",0.546560241711241,"All"
"1984","1","gulf stream index",0.843571986152315,"All"
"1984","11","gulf stream index",0.817819175537692,"All"
"1984","12","gulf stream index",1.12484973790014,"All"
"1985","01","gulf stream index",1.26307706801707,"All"
"1985","02","gulf stream index",0.361275219983216,"All"
"1985","03","gulf stream index",0.634472433915884,"All"
"1985","04","gulf stream index",0.418996696100488,"All"
"1985","05","gulf stream index",0.0845251616744325,"All"
"1985","06","gulf stream index",1.36590786011891,"All"
"1985","07","gulf stream index",0.89030963211749,"All"
"1985","08","gulf stream index",0.592769263863628,"All"
"1985","09","gulf stream index",0.631562315701174,"All"
"1985","1","gulf stream index",1.17338589375055,"All"
"1985","11","gulf stream index",0.495977186014993,"All"
"1985","12","gulf stream index",-0.102285769459453,"All"
"1986","01","gulf stream index",0.442032834354928,"All"
"1986","02","gulf stream index",0.35057313685075,"All"
"1986","03","gulf stream index",-0.692340449109617,"All"
"1986","04","gulf stream index",1.13845334222757,"All"
"1986","05","gulf stream index",0.478976954685986,"All"
"1986","06","gulf stream index",0.655289622470937,"All"
"1986","07","gulf stream index",-0.542033282517583,"All"
"1986","08","gulf stream index",0.0904639644514629,"All"
"1986","09","gulf stream index",-0.499868959221032,"All"
"1986","1","gulf stream index",0.197461830924279,"All"
"1986","11","gulf stream index",0.700472554977657,"All"
"1986","12","gulf stream index",-0.159624227875561,"All"
"1987","01","gulf stream index",0.15177044209031,"All"
"1987","02","gulf stream index",-1.38162382533977,"All"
"1987","03","gulf stream index",-1.66241542936984,"All"
"1987","04","gulf stream index",-0.764362577811301,"All"
"1987","05","gulf stream index",-0.527322893073025,"All"
"1987","06","gulf stream index",-0.532980058460502,"All"
"1987","07","gulf stream index",-0.42585573270939,"All"
"1987","08","gulf stream index",-0.499545306958692,"All"
"1987","09","gulf stream index",-0.599502806106145,"All"
"1987","1","gulf stream index",0.140754941807772,"All"
